id,collector,location,timestamp,gender,age_group,occupation,venue_preference,price_influence,satisfaction,amenities_importance,service_quality,value_for_money,visit_frequency,annual_spending,recommendation_score
106,Surveyor D,Practice Course B,2023-10-26 11:45:00,Male,65+ years old,Business Executive,"Public course,Resort course",5,3,2,2,2,Several times per year,29243,8
107,Surveyor E,Public Golf Course D,2023-10-26 11:46:00,Female,26-35 years old,Freelancer,"Member club,Resort course,Public course",3,2,2,1,3,Once a quarter,44054,6
108,Surveyor D,Public Golf Course D,2023-10-26 11:47:00,Male,56-65 years old,Business Executive,"Resort course,Public course",4,3,3,5,1,2-3 times per month,29227,7
109,Surveyor C,Resort Golf Course E,2023-10-26 11:48:00,Male,36-45 years old,Technical Professional,"Resort course,Practice course",3,1,4,2,5,Several times per year,32748,2
110,Surveyor B,Practice Course A,2023-10-26 11:49:00,Female,36-45 years old,Sales Person,"Resort course,Practice course,Public course",3,2,1,1,5,Once a week,21958,10
111,Surveyor B,Member Golf Club C,2023-10-26 11:50:00,Male,46-55 years old,Retiree,"Member club,Resort course",1,1,1,1,2,Once a week,14934,2
112,Surveyor E,Practice Course B,2023-10-26 11:51:00,Female,18-25 years old,Freelancer,"Practice course,Member club,Public course",3,2,2,2,3,Once a week,15550,6
113,Surveyor D,Public Golf Course D,2023-10-26 11:52:00,Female,65+ years old,Engineer,"Public course,Member club",5,4,2,2,3,Once a month,9024,9
114,Surveyor A,Resort Golf Course E,2023-10-26 11:53:00,Male,65+ years old,Sales Person,"Resort course,Public course,Member club",3,4,2,3,2,Once a week,36772,3
115,Surveyor A,Practice Course A,2023-10-26 11:54:00,Female,26-35 years old,Sales Person,"Practice course,Member club,Resort course",1,4,3,5,2,2-3 times per month,13722,10
116,Surveyor A,Resort Golf Course E,2023-10-26 11:55:00,Male,56-65 years old,Freelancer,"Resort course,Public course",5,1,4,4,1,2-3 times per month,7120,8
117,Surveyor B,Practice Course A,2023-10-26 11:56:00,Male,36-45 years old,Civil Servant,"Resort course,Public course,Member club",2,5,1,3,3,Several times per year,35089,5
118,Surveyor B,Resort Golf Course E,2023-10-26 11:57:00,Female,26-35 years old,Teacher,"Public course,Member club,Practice course",3,2,5,1,5,Several times per year,26348,6
119,Surveyor D,Member Golf Club C,2023-10-26 11:58:00,Female,56-65 years old,Technical Professional,"Public course,Practice course,Member club",1,4,3,5,2,2-3 times per month,10877,6
120,Surveyor E,Member Golf Club C,2023-10-26 11:59:00,Female,18-25 years old,Civil Servant,"Public course,Resort course,Practice course",2,2,1,5,1,Once a week,48488,10
121,Surveyor A,Practice Course A,2023-10-26 12:00:00,Female,36-45 years old,Retiree,"Resort course,Practice course",2,1,4,2,5,Once a quarter,23904,3
122,Surveyor D,Resort Golf Course E,2023-10-26 12:01:00,Male,18-25 years old,Retiree,Public course,4,5,3,5,3,Once a month,25792,5
123,Surveyor D,Member Golf Club C,2023-10-26 12:02:00,Male,26-35 years old,Lawyer,Practice course,5,1,1,5,2,Once a month,31037,1
124,Surveyor E,Resort Golf Course E,2023-10-26 12:03:00,Male,26-35 years old,Sales Person,"Public course,Practice course",3,2,3,1,2,Several times per year,22335,2
125,Surveyor D,Resort Golf Course E,2023-10-26 12:04:00,Female,36-45 years old,Business Executive,"Resort course,Public course",1,5,1,3,1,Once a month,19659,10
126,Surveyor E,Member Golf Club C,2023-10-26 12:05:00,Male,26-35 years old,Doctor,"Member club,Resort course",4,5,1,5,1,2-3 times per month,34684,3
127,Surveyor C,Public Golf Course D,2023-10-26 12:06:00,Female,46-55 years old,Sales Person,"Resort course,Public course",5,1,4,2,3,Several times per year,5964,4
128,Surveyor E,Public Golf Course D,2023-10-26 12:07:00,Female,65+ years old,Civil Servant,"Public course,Resort course",4,4,5,3,2,2-3 times per month,39902,9
129,Surveyor A,Resort Golf Course E,2023-10-26 12:08:00,Male,46-55 years old,Engineer,"Member club,Resort course,Practice course",5,2,4,2,1,Once a quarter,40012,1
130,Surveyor A,Public Golf Course D,2023-10-26 12:09:00,Female,65+ years old,Doctor,"Member club,Public course",5,3,1,5,2,Once a quarter,40571,3
131,Surveyor E,Practice Course B,2023-10-26 12:10:00,Male,36-45 years old,Civil Servant,Resort course,3,3,3,3,3,Once a quarter,8911,3
132,Surveyor C,Member Golf Club C,2023-10-26 12:11:00,Female,46-55 years old,Engineer,"Resort course,Practice course",5,1,4,5,2,Once a quarter,16216,6
133,Surveyor C,Public Golf Course D,2023-10-26 12:12:00,Female,46-55 years old,Technical Professional,Public course,4,2,5,1,5,Once a month,6408,5
134,Surveyor A,Public Golf Course D,2023-10-26 12:13:00,Male,56-65 years old,Civil Servant,"Resort course,Practice course",5,2,1,3,2,2-3 times per month,26621,3
135,Surveyor C,Resort Golf Course E,2023-10-26 12:14:00,Female,26-35 years old,Technical Professional,Member club,3,1,4,2,4,2-3 times per month,25977,4
136,Surveyor D,Practice Course A,2023-10-26 12:15:00,Male,46-55 years old,Civil Servant,Member club,3,2,4,1,4,Several times per year,18195,7
137,Surveyor B,Public Golf Course D,2023-10-26 12:16:00,Male,46-55 years old,Business Executive,"Resort course,Member club",4,4,4,4,3,2-3 times per month,48938,3
138,Surveyor D,Practice Course A,2023-10-26 12:17:00,Female,56-65 years old,Teacher,"Practice course,Public course,Resort course",2,1,4,2,3,Once a month,45431,9
139,Surveyor A,Member Golf Club C,2023-10-26 12:18:00,Female,56-65 years old,Freelancer,"Resort course,Practice course,Member club",2,4,3,5,3,Once a month,47577,8
140,Surveyor C,Practice Course A,2023-10-26 12:19:00,Male,36-45 years old,Doctor,"Member club,Practice course",5,2,5,2,5,2-3 times per month,12113,2
141,Surveyor E,Public Golf Course D,2023-10-26 12:20:00,Female,65+ years old,Teacher,"Public course,Member club",1,1,5,4,5,2-3 times per month,45910,5
142,Surveyor B,Practice Course B,2023-10-26 12:21:00,Female,26-35 years old,Sales Person,"Member club,Practice course",5,2,1,2,2,Once a quarter,27761,4
143,Surveyor E,Practice Course B,2023-10-26 12:22:00,Male,18-25 years old,Lawyer,"Member club,Resort course",4,1,2,1,1,2-3 times per month,29992,5
144,Surveyor A,Member Golf Club C,2023-10-26 12:23:00,Female,56-65 years old,Teacher,"Member club,Practice course,Resort course",4,2,3,2,4,2-3 times per month,18778,3
145,Surveyor C,Public Golf Course D,2023-10-26 12:24:00,Female,18-25 years old,Engineer,"Public course,Practice course",4,4,1,3,4,Once a quarter,26985,10
146,Surveyor E,Member Golf Club C,2023-10-26 12:25:00,Female,18-25 years old,Lawyer,"Practice course,Public course",4,4,1,4,4,Several times per year,9367,1
147,Surveyor E,Resort Golf Course E,2023-10-26 12:26:00,Male,18-25 years old,Retiree,"Practice course,Resort course,Public course",4,2,4,2,2,2-3 times per month,15786,8
148,Surveyor B,Resort Golf Course E,2023-10-26 12:27:00,Female,56-65 years old,Engineer,Public course,3,1,2,4,2,Several times per year,47706,9
149,Surveyor B,Practice Course A,2023-10-26 12:28:00,Male,18-25 years old,Freelancer,"Resort course,Public course,Member club",2,3,2,1,3,Once a quarter,49461,8
150,Surveyor C,Member Golf Club C,2023-10-26 12:29:00,Male,18-25 years old,Business Executive,"Resort course,Practice course,Public course",4,4,3,3,1,Several times per year,35908,4
151,Surveyor B,Practice Course B,2023-10-26 12:30:00,Male,36-45 years old,Sales Person,"Resort course,Practice course,Member club",1,4,2,5,3,2-3 times per month,16051,2
152,Surveyor E,Member Golf Club C,2023-10-26 12:31:00,Male,18-25 years old,Freelancer,Resort course,1,3,1,2,2,Once a week,41746,4
153,Surveyor E,Practice Course A,2023-10-26 12:32:00,Male,36-45 years old,Lawyer,"Member club,Public course",1,2,2,1,5,Once a month,20611,9
154,Surveyor A,Public Golf Course D,2023-10-26 12:33:00,Female,46-55 years old,Civil Servant,Public course,1,1,2,4,3,Once a week,9490,10
155,Surveyor E,Member Golf Club C,2023-10-26 12:34:00,Female,46-55 years old,Lawyer,"Member club,Practice course",3,2,5,4,2,Once a week,36313,9
156,Surveyor C,Practice Course A,2023-10-26 12:35:00,Female,65+ years old,Doctor,"Public course,Member club,Resort course",1,5,1,1,2,Once a week,11377,5
157,Surveyor D,Resort Golf Course E,2023-10-26 12:36:00,Male,56-65 years old,Freelancer,"Member club,Practice course,Public course",4,4,2,2,5,2-3 times per month,14903,5
158,Surveyor A,Practice Course B,2023-10-26 12:37:00,Male,26-35 years old,Civil Servant,"Member club,Resort course,Public course",5,5,2,5,5,Once a quarter,19567,10
159,Surveyor A,Public Golf Course D,2023-10-26 12:38:00,Female,18-25 years old,Doctor,"Member club,Resort course,Practice course",1,4,4,2,5,Once a week,27885,3
160,Surveyor C,Member Golf Club C,2023-10-26 12:39:00,Female,18-25 years old,Civil Servant,Member club,3,4,2,3,1,Once a quarter,33222,6
161,Surveyor C,Member Golf Club C,2023-10-26 12:40:00,Female,36-45 years old,Technical Professional,"Public course,Member club",3,5,2,2,2,Once a quarter,31606,7
162,Surveyor B,Practice Course B,2023-10-26 12:41:00,Female,26-35 years old,Freelancer,"Public course,Practice course,Member club",1,5,5,3,5,2-3 times per month,22440,10
163,Surveyor A,Resort Golf Course E,2023-10-26 12:42:00,Female,65+ years old,Teacher,"Practice course,Public course",5,2,1,4,1,Once a week,7260,9
164,Surveyor B,Member Golf Club C,2023-10-26 12:43:00,Female,26-35 years old,Freelancer,"Practice course,Public course",1,5,3,3,4,Once a month,35267,7
165,Surveyor E,Practice Course B,2023-10-26 12:44:00,Female,46-55 years old,Lawyer,Member club,3,2,1,5,4,2-3 times per month,32002,3
166,Surveyor A,Practice Course B,2023-10-26 12:45:00,Male,65+ years old,Doctor,"Member club,Public course,Practice course",2,2,4,1,4,Once a month,21833,7
167,Surveyor A,Public Golf Course D,2023-10-26 12:46:00,Female,36-45 years old,Lawyer,"Practice course,Resort course",4,2,1,3,2,Several times per year,8498,1
168,Surveyor D,Practice Course B,2023-10-26 12:47:00,Female,18-25 years old,Doctor,"Public course,Resort course,Member club",3,4,2,2,1,Once a quarter,15518,2
169,Surveyor A,Practice Course B,2023-10-26 12:48:00,Male,36-45 years old,Business Executive,"Resort course,Member club",1,4,4,3,1,Several times per year,17501,4
170,Surveyor E,Practice Course B,2023-10-26 12:49:00,Female,46-55 years old,Business Executive,Resort course,4,5,1,4,4,Once a quarter,27254,7
171,Surveyor B,Member Golf Club C,2023-10-26 12:50:00,Male,65+ years old,Engineer,"Member club,Public course,Resort course",1,4,4,3,3,Once a month,39076,9
172,Surveyor B,Practice Course B,2023-10-26 12:51:00,Male,18-25 years old,Doctor,"Resort course,Public course,Practice course",1,5,3,5,4,2-3 times per month,20902,5
173,Surveyor D,Practice Course B,2023-10-26 12:52:00,Female,36-45 years old,Doctor,"Practice course,Resort course",2,4,1,3,2,Once a quarter,38485,8
174,Surveyor E,Practice Course B,2023-10-26 12:53:00,Male,18-25 years old,Lawyer,"Member club,Resort course,Public course",4,1,2,5,4,Once a week,30545,7
175,Surveyor B,Practice Course B,2023-10-26 12:54:00,Female,18-25 years old,Doctor,"Practice course,Resort course,Public course",4,1,4,2,4,Once a month,8345,5
176,Surveyor C,Resort Golf Course E,2023-10-26 12:55:00,Female,36-45 years old,Sales Person,Member club,2,5,5,4,1,Once a month,20370,3
177,Surveyor E,Member Golf Club C,2023-10-26 12:56:00,Male,26-35 years old,Lawyer,"Public course,Member club,Resort course",3,4,4,1,4,Once a quarter,33231,3
178,Surveyor E,Practice Course B,2023-10-26 12:57:00,Male,36-45 years old,Civil Servant,"Resort course,Practice course",1,4,5,2,5,2-3 times per month,46863,6
179,Surveyor D,Practice Course A,2023-10-26 12:58:00,Female,46-55 years old,Teacher,Resort course,5,2,2,2,5,Once a week,14642,10
